58
10
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[23.577,1.87,1.27]
[19.727,1.87,1.27]
[15.877,1.87,1.27]
[12.027,1.87,1.27]
[8.177,1.87,1.27]
[4.327,1.87,1.27]
[0.477,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[-3.373,1.87,1.27]
[0.477,1.87,1.27]
[4.327,1.87,1.27]
[8.177,1.87,1.27]
[12.027,1.87,1.27]
[15.877,1.87,1.27]
[19.727,1.87,1.27]
[23.577,1.87,1.27]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
