40
20
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[0.0, 0.0, 0.0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
[2.25,0,1,0]
