59
20
[2.605,14.659,-21.871]
[3.11,14.659,-21.871]
[3.615,14.659,-21.871]
[4.12,14.659,-21.871]
[4.625,14.659,-21.871]
[5.13,14.659,-21.871]
[5.635,14.659,-21.871]
[6.14,14.659,-21.871]
[6.645,14.659,-21.871]
[7.15,14.659,-21.871]
[7.655,14.659,-21.871]
[8.16,14.659,-21.871]
[8.665,14.659,-21.871]
[9.17,14.659,-21.871]
[9.675,14.659,-21.871]
[10.18,14.659,-21.871]
[10.685,14.659,-21.871]
[11.19,14.659,-21.871]
[11.695,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[12.2,14.659,-21.871]
[11.5267,14.659,-21.871]
[10.8533,14.659,-21.871]
[10.18,14.659,-21.871]
[9.50667,14.659,-21.871]
[8.83333,14.659,-21.871]
[8.16,14.659,-21.871]
[7.48667,14.659,-21.871]
[6.81333,14.659,-21.871]
[6.14,14.659,-21.871]
[5.46667,14.659,-21.871]
[4.79333,14.659,-21.871]
[4.12,14.659,-21.871]
[3.44667,14.659,-21.871]
[2.77333,14.659,-21.871]
[2.1,14.659,-21.871]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
