39
20
[23.2063,-4,-1.2]
[23.2375,-4,-1.2]
[23.2688,-4,-1.2]
[23.3,-4,-1.2]
[23.3313,-4,-1.2]
[23.3625,-4,-1.2]
[23.3938,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.425,-4,-1.2]
[23.3417,-4,-1.2]
[23.2583,-4,-1.2]
[23.175,-4,-1.2]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
