60
20
[-0.1425,25.95,0]
[-0.085,25.95,0]
[-0.0275,25.95,0]
[0.03,25.95,0]
[0.0875,25.95,0]
[0.145,25.95,0]
[0.2025,25.95,0]
[0.26,25.95,0]
[0.3175,25.95,0]
[0.375,25.95,0]
[0.4325,25.95,0]
[0.49,25.95,0]
[0.5475,25.95,0]
[0.605,25.95,0]
[0.6625,25.95,0]
[0.72,25.95,0]
[0.7775,25.95,0]
[0.835,25.95,0]
[0.8925,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.95,25.95,0]
[0.8925,25.95,0]
[0.835,25.95,0]
[0.7775,25.95,0]
[0.72,25.95,0]
[0.6625,25.95,0]
[0.605,25.95,0]
[0.5475,25.95,0]
[0.49,25.95,0]
[0.4325,25.95,0]
[0.375,25.95,0]
[0.3175,25.95,0]
[0.26,25.95,0]
[0.2025,25.95,0]
[0.145,25.95,0]
[0.0875,25.95,0]
[0.03,25.95,0]
[-0.0275,25.95,0]
[-0.085,25.95,0]
[-0.1425,25.95,0]
[-0.2,25.95,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
