40
20
[0,-1.276,4]
[0,-1.282,4]
[0,-1.288,4]
[0,-1.294,4]
[0,-1.3,4]
[0,-1.22333,4]
[0,-1.14667,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.07,4]
[0,-1.11,4]
[0,-1.15,4]
[0,-1.19,4]
[0,-1.23,4]
[0,-1.27,4]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
