31
10
[0.021,0.14659,-0.21871]
[0.031,0.14659,-0.21871]
[0.041,0.14659,-0.21871]
[0.051,0.14659,-0.21871]
[0.061,0.14659,-0.21871]
[0.071,0.14659,-0.21871]
[0.081,0.14659,-0.21871]
[0.091,0.14659,-0.21871]
[0.101,0.14659,-0.21871]
[0.111,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.121,0.14659,-0.21871]
[0.111,0.14659,-0.21871]
[0.101,0.14659,-0.21871]
[0.091,0.14659,-0.21871]
[0.081,0.14659,-0.21871]
[0.071,0.14659,-0.21871]
[0.061,0.14659,-0.21871]
[0.051,0.14659,-0.21871]
[0.041,0.14659,-0.21871]
[0.031,0.14659,-0.21871]
[0.021,0.14659,-0.21871]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
