41
10
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[0.19727,0.0187,0.0127]
[0.15877,0.0187,0.0127]
[0.12027,0.0187,0.0127]
[0.08177,0.0187,0.0127]
[0.04327,0.0187,0.0127]
[0.00477,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[-0.03373,0.0187,0.0127]
[0.033645,0.0187,0.0127]
[0.10102,0.0187,0.0127]
[0.168395,0.0187,0.0127]
[0.23577,0.0187,0.0127]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
