37
10
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[0.0469525,0.0832,0.0127]
[0.127635,0.0832,0.0127]
[0.208318,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.289,0.0832,0.0127]
[0.248659,0.0832,0.0127]
[0.208317,0.0832,0.0127]
[0.167976,0.0832,0.0127]
[0.127635,0.0832,0.0127]
[0.0872937,0.0832,0.0127]
[0.0469525,0.0832,0.0127]
[0.00661125,0.0832,0.0127]
[-0.03373,0.0832,0.0127]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
