40
10
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.2114,-0.02955]
[-0.004,0.2243,-0.02955]
[-0.004,0.2372,-0.02955]
[-0.004,0.2501,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.246875,-0.02955]
[-0.004,0.23075,-0.02955]
[-0.004,0.214625,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.1985,-0.02955]
[-0.004,0.214625,-0.02955]
[-0.004,0.23075,-0.02955]
[-0.004,0.246875,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.263,-0.02955]
[-0.004,0.2415,-0.02955]
[-0.004,0.22,-0.02955]
[-0.004,0.1985,-0.02955]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
