31
10
[-0.142,0.265,0]
[-0.14115,0.265,0]
[-0.1403,0.265,0]
[-0.13945,0.265,0]
[-0.1386,0.265,0]
[-0.13775,0.265,0]
[-0.1369,0.265,0]
[-0.13605,0.265,0]
[-0.1352,0.265,0]
[-0.13435,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.1335,0.265,0]
[-0.13435,0.265,0]
[-0.1352,0.265,0]
[-0.13605,0.265,0]
[-0.1369,0.265,0]
[-0.13775,0.265,0]
[-0.1386,0.265,0]
[-0.13945,0.265,0]
[-0.1403,0.265,0]
[-0.14115,0.265,0]
[-0.142,0.265,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
