time,type,value,duration
2.0000,state,working,1
2.8898,state,idle,7
10.0000,state,working,4
13.8032,state,idle,4
18.0000,state,working,8
26.2187,state,idle,0
26.2187,state,working,12
38.1933,state,idle,0
38.1933,state,working,4
42.1532,state,idle,0
42.1532,state,working,26
1:07.9681,state,idle,0
1:07.9681,state,working,4
1:12.4528,state,idle,0
1:12.4528,state,working,9
1:21.4676,state,idle,0
1:21.4676,state,working,4
1:25.2167,state,idle,0
1:25.2167,state,working,6
1:31.2462,state,idle,0
1:31.2462,state,working,20
1:50.9145,state,idle,0
1:50.9145,state,working,6
1:57.0929,state,idle,0
1:57.0929,state,working,5
2:02.3137,state,idle,0
2:02.3137,state,working,7
2:09.5841,state,idle,0
2:09.5841,state,working,1
2:10.3841,state,idle,0
2:10.3841,state,working,1
2:11.2032,state,idle,0
2:11.2032,state,working,2
2:12.7903,state,idle,5
2:18.0000,state,working,20
2:37.5592,state,idle,0
2:37.5592,state,working,30
3:08.0135,state,idle,0
3:08.0135,state,working,3
3:11.4522,state,idle,0
3:11.4522,state,working,7
3:18.6325,state,idle,0
3:18.6325,state,working,5
3:23.4433,state,idle,0
3:23.4433,state,working,3
3:26.7480,state,idle,0
3:26.7480,state,working,5
3:32.1380,state,idle,0
3:32.1380,state,working,1
3:33.3893,state,idle,0
3:33.3893,state,working,23
3:56.3542,state,idle,0
3:56.3542,state,working,1
3:57.4038,state,idle,0
3:57.4038,state,working,4
4:01.4997,state,idle,0
4:01.4997,state,working,24
4:25.5029,state,idle,0
4:25.5029,state,working,4
4:29.0496,state,idle,0
4:29.0496,state,working,3
4:31.7132,state,idle,0
4:31.7132,state,working,9
4:40.2172,state,idle,0
4:40.2172,state,working,3
4:43.4840,state,idle,0
4:43.4840,state,working,16
4:59.5513,state,idle,0
4:59.5513,state,working,4
5:04.0290,state,idle,0
5:04.0290,state,working,1
5:04.8290,state,idle,0
5:04.8290,state,working,7
5:12.1082,state,idle,0
5:12.1082,state,working,15
5:27.3377,state,idle,0
5:27.3377,state,working,1
5:28.6767,state,idle,0
5:28.6767,state,working,9
5:38.1400,state,idle,0
5:38.1400,state,working,10
5:47.9651,state,idle,0
5:47.9651,state,working,3
5:51.0927,state,idle,0
5:51.0927,state,working,10
6:01.3934,state,idle,0
6:01.3934,state,working,3
6:03.9524,state,idle,0
6:03.9524,state,working,3
6:06.5820,state,idle,0
6:06.5820,state,working,3
6:10.0814,state,idle,0
6:10.0814,state,working,6
6:15.6414,state,idle,2
6:18.0000,state,working,5
6:23.0135,state,idle,3
6:26.0000,state,working,5
6:31.0135,state,idle,3
6:34.0000,state,working,5
6:39.0135,state,idle,3
6:42.0000,state,working,5
6:47.0135,state,idle,3
6:50.0000,state,working,5
6:55.0135,state,idle,3
6:58.0000,state,working,5
7:03.0135,state,idle,3
7:06.0000,state,working,7
7:13.2893,state,idle,1
7:14.0000,state,working,5
7:19.0135,state,idle,3
7:22.0000,state,working,5
7:27.0135,state,idle,3
7:30.0000,state,working,18
7:47.7024,state,idle,0
7:47.7024,state,working,21
8:08.5976,state,idle,0
8:08.5976,state,working,1
8:09.3976,state,idle,0
8:09.3976,state,working,5
8:14.5962,state,idle,0
8:14.5962,state,working,1
8:15.3962,state,idle,0
8:15.3962,state,working,1
8:16.7427,state,idle,1
8:18.0000,state,working,25
8:42.6369,state,idle,0
8:42.6369,state,working,1
8:43.7675,state,idle,0
8:43.7675,state,working,1
8:44.5675,state,idle,0
8:44.5675,state,working,22
9:06.2555,state,idle,0
9:06.2555,state,working,3
9:08.9457,state,idle,0
9:08.9457,state,working,31
9:40.1894,state,idle,0
9:40.1894,state,working,29
10:08.9816,state,idle,0
10:08.9816,state,working,6
10:14.9131,state,idle,0
10:14.9131,state,working,1
10:15.7131,state,idle,0
10:15.7131,state,working,1
10:16.5131,state,idle,0
10:16.5131,state,working,5
10:21.6605,state,idle,0
10:21.6605,state,working,9
10:30.6912,state,idle,0
10:30.6912,state,working,1
10:31.4912,state,idle,0
10:31.4912,state,working,8
10:39.5052,state,idle,0
10:39.5052,state,working,1
10:40.3052,state,idle,0
10:40.3052,state,working,12
10:52.4822,state,idle,0
10:52.4822,state,working,1
10:53.2822,state,idle,0
10:53.2822,state,working,7
10:59.9816,state,idle,0
10:59.9816,state,working,8
11:07.9816,state,idle,0
11:07.9816,state,working,8
11:15.9816,state,idle,0
11:15.9816,state,working,8
11:23.9816,state,idle,0
11:23.9816,state,working,11
11:35.3246,state,idle,0
11:35.3246,state,working,5
11:39.9816,state,idle,0
11:39.9816,state,working,8
11:47.9816,state,idle,0
11:47.9816,state,working,13
12:00.9415,state,idle,0
12:00.9415,state,working,3
12:03.9816,state,idle,0
12:03.9816,state,working,31
12:35.3951,state,idle,0
12:35.3951,state,working,25
12:59.9117,state,idle,0
12:59.9117,state,working,37
13:36.8243,state,idle,0
13:36.8243,state,working,6
13:43.2480,state,idle,0
13:43.2480,state,working,3
13:45.9965,state,idle,0
13:45.9965,state,working,1
13:46.7965,state,idle,0
13:46.7965,state,working,4
13:51.0205,state,idle,0
13:51.0205,state,working,20
14:11.2335,state,idle,0
14:11.2335,state,working,1
14:12.4128,state,idle,0
14:12.4128,state,working,11
14:23.2689,state,idle,0
14:23.2689,state,working,18
14:41.2823,state,idle,0
14:41.2823,state,working,1
14:42.0823,state,idle,0
14:42.0823,state,working,1
14:43.2497,state,idle,0
14:43.2497,state,working,1
14:44.6756,state,idle,0
14:44.6756,state,working,6
14:50.4917,state,idle,0
14:50.4917,state,working,1
14:51.3902,state,idle,0
14:51.3902,state,working,15
15:06.3001,state,idle,0
15:06.3001,state,working,4
15:10.6212,state,idle,0
15:10.6212,state,working,4
15:15.0849,state,idle,0
15:15.0849,state,working,10
15:25.4731,state,idle,0
15:25.4731,state,working,1
15:26.2731,state,idle,0
15:26.2731,state,working,9
15:35.2103,state,idle,0
15:35.2103,state,working,5
15:40.2823,state,idle,0
15:40.2823,state,working,13
15:53.7050,state,idle,0
15:53.7050,state,working,31
16:24.8854,state,idle,0
16:24.8854,state,working,5
16:30.0749,state,idle,0
16:30.0749,state,working,8
16:38.1823,state,idle,0
16:38.1823,state,working,4
16:41.8815,state,idle,0
16:41.8815,state,working,1
16:42.6815,state,idle,0
16:42.6815,state,working,12
16:54.2050,state,idle,0
16:54.2050,state,working,16
17:10.6934,state,idle,0
17:10.6934,state,working,1
17:11.4934,state,idle,0
17:11.4934,state,working,9
17:20.1206,state,idle,0
17:20.1206,state,working,26
17:45.8761,state,idle,0
17:45.8761,state,working,1
17:46.6761,state,idle,0
17:46.6761,state,working,4
17:50.9099,state,idle,0
17:50.9099,state,working,9
17:59.9151,state,idle,0
17:59.9151,state,working,8
18:07.5508,state,idle,0
18:07.5508,state,working,18
18:25.0639,state,idle,0
18:25.0639,state,working,15
18:40.3692,state,idle,0
18:40.3692,state,working,3
18:43.6893,state,idle,0
18:43.6893,state,working,9
18:53.0210,state,idle,0
18:53.0210,state,working,5
18:58.0762,state,idle,0
18:58.0762,state,working,4
19:02.1460,state,idle,0
19:02.1460,state,working,6
19:08.4012,state,idle,0
19:08.4012,state,working,9
19:17.4046,state,idle,0
19:17.4046,state,working,2
19:18.9450,state,idle,0
19:18.9450,state,working,8
19:27.2144,state,idle,0
19:27.2144,state,working,5
19:32.3464,state,idle,0
19:32.3464,state,working,12
19:44.0088,state,idle,0
19:44.0088,state,working,15
19:58.6181,state,idle,0
19:58.6181,state,working,4
20:02.9246,state,idle,0
20:02.9246,state,working,2
20:05.0907,state,idle,0
20:05.0907,state,working,6
20:11.0142,state,idle,0
20:11.0142,state,working,11
20:21.6061,state,idle,0
20:21.6061,state,working,4
20:25.9713,state,idle,0
20:25.9713,state,working,4
20:29.4824,state,idle,0
20:29.4824,state,working,2
20:31.4272,state,idle,0
20:31.4272,state,working,4
20:35.3692,state,idle,0
20:35.3692,state,working,8
20:43.3692,state,idle,0
20:43.3692,state,working,10
20:52.9880,state,idle,0
20:52.9880,state,working,9
21:01.9499,state,idle,0
21:01.9499,state,working,5
21:07.3692,state,idle,0
21:07.3692,state,working,8
21:15.3692,state,idle,0
21:15.3692,state,working,8
21:23.3692,state,idle,0
21:23.3692,state,working,8
21:31.3692,state,idle,0
21:31.3692,state,working,40
22:11.8484,state,idle,0
22:11.8484,state,working,5
22:16.6351,state,idle,0
22:16.6351,state,working,18
22:34.3941,state,idle,0
22:34.3941,state,working,1
22:35.6512,state,idle,0
22:35.6512,state,working,11
22:46.5075,state,idle,0
22:46.5075,state,working,2
22:48.6961,state,idle,0
22:48.6961,state,working,6
22:54.6411,state,idle,0
22:54.6411,state,working,24
23:18.8909,state,idle,0
23:18.8909,state,working,7
23:25.5075,state,idle,0
23:25.5075,state,working,34
23:59.9966,state,idle,0
23:59.9966,state,working,2
24:01.8531,state,idle,0
24:01.8531,state,working,1
24:02.6531,state,idle,0
24:02.6531,state,working,2
24:05.0753,state,idle,0
24:05.0753,state,working,13
24:18.4745,state,idle,0
24:18.4745,state,working,22
24:40.3921,state,idle,0
24:40.3921,state,working,22
25:02.3671,state,idle,0
25:02.3671,state,working,2
25:04.2616,state,idle,0
25:04.2616,state,working,6
25:10.6636,state,idle,0
25:10.6636,state,working,10
25:20.6130,state,idle,0
25:20.6130,state,working,9
25:29.3894,state,idle,0
25:29.3894,state,working,15
25:44.7540,state,idle,0
25:44.7540,state,working,11
25:55.5211,state,idle,0
25:55.5211,state,working,8
26:03.2746,state,idle,0
26:03.2746,state,working,7
26:10.3510,state,idle,0
26:10.3510,state,working,1
26:11.7321,state,idle,0
26:11.7321,state,working,13
26:24.9385,state,idle,0
26:24.9385,state,working,4
26:28.9958,state,idle,0
26:28.9958,state,working,11
26:40.2977,state,idle,0
26:40.2977,state,working,11
26:50.8869,state,idle,0
26:50.8869,state,working,26
27:16.9078,state,idle,0
27:16.9078,state,working,5
27:22.1433,state,idle,0
27:22.1433,state,working,17
27:39.2605,state,idle,0
27:39.2605,state,working,3
27:42.4400,state,idle,0
27:42.4400,state,working,10
27:52.8948,state,idle,0
27:52.8948,state,working,2
27:54.8273,state,idle,0
27:54.8273,state,working,17
28:11.8125,state,idle,0
28:11.8125,state,working,4
28:15.6233,state,idle,0
28:15.6233,state,working,3
28:18.9138,state,idle,0
28:18.9138,state,working,23
28:41.9673,state,idle,0
28:41.9673,state,working,3
28:44.5501,state,idle,0
28:44.5501,state,working,6
28:50.9786,state,idle,0
28:50.9786,state,working,5
28:55.6957,state,idle,0
28:55.6957,state,working,1
28:56.4957,state,idle,0
28:56.4957,state,working,2
28:58.9041,state,idle,0
28:58.9041,state,working,6
29:04.7200,state,idle,0
29:04.7200,state,working,2
29:06.5318,state,idle,0
29:06.5318,state,working,7
29:13.5746,state,idle,0
29:13.5746,state,working,5
29:18.1816,state,idle,0
29:18.1816,state,working,7
29:24.9673,state,idle,0
29:24.9673,state,working,12
29:36.7795,state,idle,0
29:36.7795,state,working,8
29:44.8560,state,idle,0
29:44.8560,state,working,5
29:49.6746,state,idle,0
29:49.6746,state,working,12
30:01.4691,state,idle,0
30:01.4691,state,working,5
30:05.9868,state,idle,0
30:05.9868,state,working,16
30:22.3737,state,idle,0
30:22.3737,state,working,1
30:23.3725,state,idle,0
30:23.3725,state,working,7
30:30.0383,state,idle,0
30:30.0383,state,working,29
30:59.4553,state,idle,0
30:59.4553,state,working,11
31:10.0317,state,idle,0
31:10.0317,state,working,1
31:11.0338,state,idle,0
31:11.0338,state,working,8
31:18.9386,state,idle,0
31:18.9386,state,working,7
31:26.3286,state,idle,0
31:26.3286,state,working,7
31:33.8236,state,idle,0
31:33.8236,state,working,3
31:36.9546,state,idle,0
31:36.9546,state,working,13
31:49.5732,state,idle,0
31:49.5732,state,working,4
31:53.3041,state,idle,0
31:53.3041,state,working,7
32:00.1913,state,idle,0
32:00.1913,state,working,10
32:10.1861,state,idle,0
32:10.1861,state,working,3
32:13.3651,state,idle,0
32:13.3651,state,working,9
32:22.3717,state,idle,0
32:22.3717,state,working,10
32:32.5010,state,idle,0
32:32.5010,state,working,2
32:34.6598,state,idle,0
32:34.6598,state,working,11
32:45.7135,state,idle,0
32:45.7135,state,working,31
33:16.6156,state,idle,0
33:16.6156,state,working,5
33:21.7231,state,idle,0
33:21.7231,state,working,2
33:23.5477,state,idle,0
33:23.5477,state,working,8
33:31.1508,state,idle,0
33:31.1508,state,working,8
33:38.9530,state,idle,0
33:38.9530,state,working,3
33:42.0476,state,idle,0
33:42.0476,state,working,4
33:45.5485,state,idle,0
33:45.5485,state,working,16
34:01.4505,state,idle,0
34:01.4505,state,working,29
34:30.2190,state,idle,0
34:30.2190,state,working,11
34:41.6903,state,idle,0
34:41.6903,state,working,1
34:42.9668,state,idle,0
34:42.9668,state,working,41
35:23.7152,state,idle,0
35:23.7152,state,working,3
35:26.6777,state,idle,0
35:26.6777,state,working,15
35:42.0007,state,idle,0
35:42.0007,state,working,1
35:43.0424,state,idle,0
35:43.0424,state,working,15
35:58.2513,state,idle,0
35:58.2513,state,working,5
36:03.7168,state,idle,0
36:03.7168,state,working,1
36:04.5969,state,idle,0
36:04.5969,state,working,4
36:08.9400,state,idle,0
36:08.9400,state,working,9
36:17.6878,state,idle,0
36:17.6878,state,working,3
36:20.2776,state,idle,0
36:20.2776,state,working,4
36:24.1285,state,idle,0
36:24.1285,state,working,1
36:24.9285,state,idle,0
36:24.9285,state,working,6
36:30.5037,state,idle,0
36:30.5037,state,working,3
36:33.2513,state,idle,0
36:33.2513,state,working,16
36:48.7626,state,idle,0
36:48.7626,state,working,5
36:53.2811,state,idle,0
36:53.2811,state,working,4
36:57.2513,state,idle,0
36:57.2513,state,working,8
37:05.2513,state,idle,0
37:05.2513,state,working,15
37:19.7959,state,idle,0
37:19.7959,state,working,10
37:29.7713,state,idle,0
37:29.7713,state,working,1
37:30.5713,state,idle,0
37:30.5713,state,working,13
37:43.2259,state,idle,0
37:43.2259,state,working,5
37:48.1358,state,idle,0
37:48.1358,state,working,19
38:06.7393,state,idle,0
38:06.7393,state,working,13
38:19.3548,state,idle,0
38:19.3548,state,working,6
38:25.4338,state,idle,0
38:25.4338,state,working,4
38:29.7766,state,idle,0
38:29.7766,state,working,19
38:48.9301,state,idle,0
38:48.9301,state,working,30
39:18.5803,state,idle,0
39:18.5803,state,working,3
39:21.6410,state,idle,0
39:21.6410,state,working,4
39:25.5795,state,idle,0
39:25.5795,state,working,9
39:34.6205,state,idle,0
39:34.6205,state,working,26
40:00.3625,state,idle,0
40:00.3625,state,working,2
40:02.8601,state,idle,0
40:02.8601,state,working,1
40:03.6601,state,idle,0
40:03.6601,state,working,7
40:11.0468,state,idle,0
40:11.0468,state,working,3
40:13.6811,state,idle,0
40:13.6811,state,working,14
40:27.7579,state,idle,0
40:27.7579,state,working,2
40:29.9722,state,idle,0
40:29.9722,state,working,5
40:34.5800,state,idle,0
40:34.5800,state,working,16
40:50.4465,state,idle,0
40:50.4465,state,working,2
40:52.7547,state,idle,0
40:52.7547,state,working,7
40:59.6927,state,idle,0
40:59.6927,state,working,2
41:01.1939,state,idle,0
41:01.1939,state,working,6
41:06.8327,state,idle,0
41:06.8327,state,working,1
41:08.1451,state,idle,0
41:08.1451,state,working,7
41:15.3625,state,idle,0
41:15.3625,state,working,14
41:29.0329,state,idle,0
41:29.0329,state,working,7
41:35.5747,state,idle,0
41:35.5747,state,working,11
41:47.0186,state,idle,0
41:47.0186,state,working,1
41:47.8186,state,idle,0
41:47.8186,state,working,18
42:05.3609,state,idle,0
42:05.3609,state,working,22
42:27.8582,state,idle,0
42:27.8582,state,working,5
42:32.9337,state,idle,0
42:32.9337,state,working,12
42:44.7012,state,idle,0
42:44.7012,state,working,14
42:58.4301,state,idle,0
42:58.4301,state,working,6
43:04.2656,state,idle,0
43:04.2656,state,working,10
43:14.2091,state,idle,0
43:14.2091,state,working,1
43:15.0091,state,idle,0
43:15.0091,state,working,11
43:26.3628,state,idle,0
43:26.3628,state,working,4
43:29.8758,state,idle,0
43:29.8758,state,working,10
43:39.6460,state,idle,0
43:39.6460,state,working,7
43:46.4377,state,idle,0
43:46.4377,state,working,3
43:49.0887,state,idle,0
43:49.0887,state,working,7
43:56.0781,state,idle,0
43:56.0781,state,working,16
44:12.1927,state,idle,0
44:12.1927,state,working,4
44:15.7977,state,idle,0
44:15.7977,state,working,15
44:30.5538,state,idle,0
44:30.5538,state,working,30
45:00.5624,state,idle,0
45:00.5624,state,working,18
45:18.3188,state,idle,0
45:18.3188,state,working,10
45:28.0488,state,idle,0
45:28.0488,state,working,7
45:35.3042,state,idle,0
45:35.3042,state,working,4
45:39.0900,state,idle,0
45:39.0900,state,working,25
46:04.1296,state,idle,0
46:04.1296,state,working,2
46:06.4866,state,idle,0
46:06.4866,state,working,3
46:09.1708,state,idle,0
46:09.1708,state,working,13
46:22.0538,state,idle,0
46:22.0538,state,working,9
46:30.8059,state,idle,0
46:30.8059,state,working,2
46:32.8319,state,idle,0
46:32.8319,state,working,1
46:33.6319,state,idle,0
46:33.6319,state,working,1
46:34.5064,state,idle,0
46:34.5064,state,working,14
46:48.8282,state,idle,0
46:48.8282,state,working,2
46:50.9009,state,idle,0
46:50.9009,state,working,9
46:59.5403,state,idle,0
46:59.5403,state,working,39
47:38.5794,state,idle,0
47:38.5794,state,working,6
47:44.4633,state,idle,0
47:44.4633,state,working,3
47:47.9052,state,idle,0
47:47.9052,state,working,10
47:58.3848,state,idle,0
47:58.3848,state,working,1
47:59.5553,state,idle,0
